plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Taxation of Domestic and Foreign Corporations	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Corporate and Business Income Tax	Taxation of Partnerships, Estates, and Trusts	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Expanded Withholding Tax in Philippine Taxation	Other Taxes	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Creditable and Final Withholding Taxes in Philippine Taxation	Basic Taxation	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Fringe Benefits Tax (FBT) in Accountancy	Other Taxes	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Expanded Withholding Tax	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Final Withholding Taxes	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Withholding Taxes	Withholding Tax on Compensation	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Estate Tax	Estate Tax Fundamentals in Advanced Taxation	Advanced Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Estate Tax	Estate Tax Filing, Payment, and Settlement	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Estate Tax	Gross Estate, Deductions, and Estate Tax Computation	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Donor’s Tax	Donor's Tax Concepts	Advanced Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Donor’s Tax	Donor’s Tax: Taxable Gifts, Exemptions, and Computation	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	Value Added Tax (VAT) Fundamentals in Accounting	Basic Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	Comparative Analysis of Percentage Tax and Value-Added Tax in Business Taxation	Business Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	VAT Exempt Transactions in Business Taxation	Business Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	VAT Input and Output Tax in Business Taxation	Business Tax	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	Input Tax Credits, Allocation, and Refunds	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	VAT Registration, Tax Base, and Output Tax	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Value-Added Tax	VAT on Importation and Special Transactions	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Percentage Tax	Percentage Taxes on Non-VAT Businesses and Special Taxpayers	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Documentary Stamp Tax	Documentary Stamp Tax Basics in Philippine Taxation	Basic Taxation	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Documentary Stamp Tax	Documentary Stamp Tax on Common Taxable Documents	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Excise Tax	Excise Tax on Alcohol, Tobacco, Petroleum, Minerals, and Sweetened Beverages	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Local and Real Property Taxation	Local Business Tax in the Philippines	Other Taxes	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Local and Real Property Taxation	Local Government Taxing Powers and Local Business Taxes	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Local and Real Property Taxation	Real Property Tax: Assessment, Levy, and Remedies	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Incentives and Preferential Taxation	CREATE and CREATE MORE Tax Incentives	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Incentives and Preferential Taxation	Taxation of Registered Business Enterprises	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	International Taxation and Tax Treaties	International Taxation	Other Taxes	ACCOUNTANCY	Accountancy	Existing
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	International Taxation and Tax Treaties	Residence, Source, and Double Taxation	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	International Taxation and Tax Treaties	Tax Treaty Relief and Preferential Treaty Rates	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	International Taxation and Tax Treaties	Transfer Pricing and Related-Party Transactions	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Compliance and Planning	Business Tax Compliance Requirements in Advanced Taxation	Advanced Taxation	ACCOUNTANCY	Accountancy	Reuse
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Compliance and Planning	Tax Planning versus Tax Avoidance and Tax Evasion	Taxation	ACCOUNTANCY	Accountancy	New
6	🧾 Taxation	Philippine national internal revenue taxation: income taxation, business taxes (VAT and percentage tax), transfer taxes (estate and donor's tax), and tax remedies and administration.	Tax Compliance and Planning	Tax Returns, Payment, Recordkeeping, and Electronic Filing	Taxation	ACCOUNTANCY	Accountancy	New
